gene,eqZ,wbZ,ntZ,multiZ
ENSG00000064270,-2.46022,-0.605593,,
ENSG00000064313,3.28788,,,
ENSG00000064393,0.78717,,,
ENSG00000064419,3.17136,,,
ENSG00000064490,-1.0441,-1.20473,,
ENSG00000064545,-2.50271,,-0.52491,
ENSG00000064547,-6.36809,-5.34541,-5.20244,-7.45845
ENSG00000064601,-3.65355,0.708021,,
ENSG00000064607,2.60458,,1.47195,
ENSG00000064651,1.0053,,,
ENSG00000064652,2.19021,0.13168,0.291969,0.299565
ENSG00000064666,0.89208,,-2.78897,
ENSG00000064687,-0.515035,-0.40431,0.103529,-0.212685
ENSG00000064703,2.5526,-0.30548,,
ENSG00000064726,0.187877,,3.10089,
ENSG00000064763,-3.09582,,0.229832,
ENSG00000064787,-0.881289,,,
ENSG00000064886,-1.29498,-0.172955,1.89491,1.2176
ENSG00000064933,-0.072594,-0.408572,-0.199946,-0.430287
ENSG00000064989,1.67998,-0.206756,,
ENSG00000064999,-2.18923,,0.848331,
ENSG00000065000,2.37752,-1.16081,,
ENSG00000065060,2.31851,,,
ENSG00000065154,2.00419,,-0.0907193,
ENSG00000065183,0.476515,,,
ENSG00000065243,0.219438,,,
ENSG00000065268,-0.0264415,-0.0766033,0.532094,0.322081
ENSG00000065308,0.527852,-0.00474523,,
ENSG00000065320,-1.4021,,,
ENSG00000065328,-2.16971,,,
ENSG00000065357,1.27765,,1.46379,
ENSG00000065413,-3.4724,,3.92788,
ENSG00000065427,4.52367,0.571025,,
ENSG00000065457,-0.229253,0.407777,-1.39755,-0.699872
ENSG00000065485,-0.359239,,,
ENSG00000065491,-2.22404,,,
ENSG00000065518,-0.622669,,,
ENSG00000065526,0.300797,-0.370781,1.36956,0.706244
ENSG00000065548,0.271898,,,
ENSG00000065559,-1.26018,,,
ENSG00000065600,-2.21487,,0.933478,
ENSG00000065613,-1.79946,,,
ENSG00000065615,1.7538,,,
ENSG00000065621,-1.2509,-0.499428,2.7234,1.57258
ENSG00000065665,2.58749,-0.122097,2.07082,1.37796
ENSG00000065675,-2.92079,,,
ENSG00000065717,0.792344,,,
ENSG00000065802,0.575396,,-0.269591,
ENSG00000065809,1.34943,,,
ENSG00000065833,0.708402,0.118162,,
ENSG00000065882,0.332031,1.25399,1.76326,2.13352
ENSG00000065989,2.11739,,-0.183142,
ENSG00000066027,-3.94092,,-2.76492,
ENSG00000066044,-2.30639,,,
ENSG00000066056,-2.4533,-2.33169,,
ENSG00000066084,2.83286,-2.23987,-2.91328,-3.64383
ENSG00000066117,-4.19167,-3.32333,,
ENSG00000066136,-2.57768,,,
ENSG00000066185,-1.88056,,,
ENSG00000066294,-0.0292246,,0.0780824,
ENSG00000066379,4.02791,0.387795,-0.116746,0.191661
ENSG00000066427,-0.156678,,-0.623211,
ENSG00000066455,-1.38636,,,
ENSG00000066583,-0.145418,,,
ENSG00000066654,3.54761,,,
ENSG00000066697,0.116649,-2.57635,-0.242221,-1.99303
ENSG00000066735,3.31134,,,
ENSG00000066739,-0.995601,,,
ENSG00000066827,0.011131,,,
ENSG00000066855,-1.7029,,-1.38143,
ENSG00000066923,1.56484,,0.719353,
ENSG00000066926,-1.21118,,-0.419872,
ENSG00000066933,0.708636,,,
