gene,eqZ,wbZ,ntZ,multiZ
ENSG00000042832,0.60412,0.744237,0.77935,1.07734
ENSG00000042980,-3.01226,-1.13889,-2.2914,-2.42558
ENSG00000043462,-2.66719,-1.87195,0.154345,-1.21453
ENSG00000043514,-0.940928,-3.13421,-2.15803,-3.74217
ENSG00000044090,2.84936,0.729251,0.683375,0.998877
ENSG00000044459,2.06969,1.2005,3.01315,2.9795
ENSG00000047056,-0.591094,-0.804363,0.976025,0.121383
ENSG00000047188,-0.68315,-0.36367,-0.0679374,-0.305192
ENSG00000047365,-1.69662,-1.66422,1.82285,0.112163
ENSG00000047457,0.817323,1.1635,-1.48145,-0.224825
ENSG00000047579,-0.0126498,0.735449,-0.956057,-0.155993
ENSG00000047932,-3.56382,1.60024,4.25645,4.14131
ENSG00000048140,-2.05883,-0.197407,-0.696582,-0.632146
ENSG00000048162,-0.316094,-0.709772,-0.657839,-0.967048
ENSG00000048342,-0.820422,-1.45597,0.511348,-0.667952
ENSG00000048392,-0.99556,-1.87087,-1.86299,-2.64024
ENSG00000048462,-1.33925,-0.636375,2.08424,1.02379
ENSG00000048471,1.35066,-3.93231,-0.0999932,-2.85127
ENSG00000048544,1.83292,0.0666433,1.5389,1.13529
ENSG00000048649,-0.385361,-0.0647774,-0.0647774,-0.091609
ENSG00000049089,0.413091,0.32755,-0.410322,-0.0585284
ENSG00000049167,3.53775,6.99712,3.4426,7.382
ENSG00000049239,1.42979,0.134751,3.04102,2.24561
ENSG00000049245,0.463798,1.88743,0.59428,1.75484
ENSG00000049449,0.764714,-0.20899,-0.242384,-0.31917
ENSG00000049541,2.34624,1.34684,0.121829,1.0385
ENSG00000049618,1.33606,-3.27731,-3.27731,-4.63482
ENSG00000050165,1.00335,0.389103,-0.206447,0.129157
ENSG00000050344,0.475876,0.888288,0.56093,1.02475
ENSG00000050405,-4.2002,-3.73929,1.50181,-1.58214
ENSG00000050426,-0.112846,-0.755069,-0.72834,-1.04893
ENSG00000050555,1.34788,1.74608,1.21327,2.09258
ENSG00000050748,-1.72718,-1.46769,-0.422529,-1.33658
ENSG00000051009,1.09841,-1.31814,-1.66776,-2.11135
ENSG00000051108,-0.552036,1.16158,1.20807,1.6756
ENSG00000051128,8.0661,0.880518,-0.190464,0.487942
ENSG00000051523,1.36782,-1.76385,-2.15138,-2.76848
ENSG00000051620,0.288739,-0.613337,0.721801,0.076696
ENSG00000051825,6.6048,6.3541,5.60563,8.4568
ENSG00000052126,-0.663934,-0.623083,0.751422,0.090749
ENSG00000052749,-1.79752,-1.98168,-0.325661,-1.63153
ENSG00000052795,2.15268,1.27354,2.03318,2.33821
ENSG00000053108,-1.07965,1.3153,-2.37309,-0.747973
ENSG00000053254,0.947075,1.38904,0.620163,1.42072
ENSG00000053371,1.32273,3.87187,2.91068,4.79599
ENSG00000053372,-1.61892,-0.460057,-0.358602,-0.578879
ENSG00000053438,1.21493,0.452538,0.372878,0.583657
ENSG00000053501,1.20973,0.927982,0.464836,0.984871
ENSG00000053702,2.04999,0.765456,-1.45413,-0.486968
ENSG00000053900,-0.0760418,-0.598105,-0.563448,-0.821342
ENSG00000054118,5.96486,0.402563,0.377066,0.551281
ENSG00000054148,1.06473,1.02039,-1.02039,-1.57009e-16
ENSG00000054179,1.07304,0.293083,-1.72588,-1.01314
ENSG00000054219,-2.71297,-2.03476,-1.60937,-2.57679
ENSG00000054277,3.9619,3.56934,3.18457,4.77574
ENSG00000054282,-6.26884,-4.89237,-10.7149,-11.036
ENSG00000054356,0.0261513,-1.44069,1.17627,-0.186975
ENSG00000054523,1.65732,2.35662,2.01556,3.0916
ENSG00000054611,0.425339,-1.08909,0.246715,-0.595648
ENSG00000054654,-0.745696,1.25133,0.508587,1.24445
ENSG00000054690,0.730677,0.714008,1.24064,1.38215
ENSG00000054793,-2.66825,-0.975652,-1.24384,-1.56942
ENSG00000054983,0.883191,-0.117555,0.838943,0.510099
ENSG00000055130,1.14909,0.325065,2.09304,1.70986
ENSG00000055163,-2.85382,-1.85704,1.22108,-0.44969
ENSG00000055332,-6.68199,-2.94696,-4.44639,-5.22789
ENSG00000055483,2.54403,-2.99282,2.57275,-0.297039
ENSG00000055732,-2.22111,-4.65296,1.5597,-2.18726
ENSG00000055917,-1.15614,-0.304077,0.425739,0.0860284
ENSG00000055950,0.98942,-0.0254697,-0.00627198,-0.0224448
ENSG00000055955,-6.79439,-4.14736,-4.29704,-5.9711
ENSG00000056097,-1.42306,-0.674191,-1.01484,-1.19433
ENSG00000056558,1.1533,-3.10732,-0.692032,-2.68655
ENSG00000056736,2.20698,1.97992,1.49416,2.45654
